Unnamed: 0,question_id,question_text,topic,answer_item_1,answer_item_2,answer_item_3,answer_item_4,answer_item_5,answer_item_6,answer_item_7,answer_item_8,answer_item_9
0,1,"['organ', 'choos', 'concern', 'eye', 'stage', 'three', 'point', 'despit', 'senior', 'serv', 'citizen', 'idea', 'u']","['quantum', 'comput']","['detail', 'well', 'window', 'join', 'peac']","['miss', 'health', 'polit', 'test', 'commerci', 'age', 'someon', 'short', 'rock', 'like', 'share', 'exist', 'test', 'attack', 'evid', 'produc', 'collect']","['reduc', 'speech', 'market', 'individu', 'enough', 'car', 'rang', 'work', 'good', 'town', 'air', 'imagin', 'middl', 'task', 'fine', 'window', 'miss', 'televis', 'intern', 'amount', 'fund']","['notic', 'decis', 'way', 'strong', 'part', 'war', 'fish', 'manag', 'note', 'comput']","['practic', 'green', 'although', 'home', 'letter', 'crime', 'field', 'heart', 'film', 'smile']","['time', 'detail', 'comput', 'design', 'occur', 'mention', 'rather', 'well', 'without', 'strong', 'custom', 'card', 'southern', 'yet', 'administr', 'look']","['posit', 'theori', 'mean', 'list', 'number', 'imagin', 'rememb', 'central', 'million', 'charact']","['standard', 'foot', 'bill', 'chanc', 'outsid', 'capit', 'case', 'offic', 'add', 'product', 'action', 'busi']",
1,2,"['certainli', 'turn', 'marriag', 'consid', 'environ', 'school', 'polic', 'old', 'success', 'leave']","['climat', 'chang']","['articl', 'hous', 'perform', 'run']","['left', 'low', 'month', 'long', 'stock', 'may', 'job', 'thing', 'risk', 'sourc', 'energi', 'serv', 'show', 'earli', 'pick']","['compani', 'beat', 'wall', 'readi', 'event', 'level', 'foot', 'discus', 'energi', 'subject', 'exist', 'nice', 'realiti', 'seem', 'prepar', 'food', 'choic']",,,,,,
2,3,"['marriag', 'best', 'film', 'dream', 'wish']",['psycholog'],"['serv', 'one', 'news', 'get', 'appli', 'true', 'program', 'price', 'design', 'author', 'husband', 'attorney']","['final', 'day', 'toward', 'either', 'true', 'compani', 'employe', 'would', 'cultur', 'direct']","['stuff', 'high', 'even', 'heart', 'physic', 'laugh', 'win', 'author', 'manag', 'polici', 'resourc', 'field', 'room', 'special', 'north']","['audienc', 'bag', 'program', 'risk', 'wonder', 'respons', 'affect', 'close', 'determin', 'design', 'identifi', 'rather', 'compar', 'becom', 'part']",,,,,
3,4,"['guess', 'soon', 'hair', 'compani', 'letter', 'fund', 'mission', 'medic', 'import', 'tradit', 'everyon']",['histori'],"['financi', 'import', 'catch', 'decad', 'well', 'vote']","['final', 'focu', 'capit', 'three', 'writer', 'charg', 'chair', 'hope', 'money', 'continu', 'team', 'near']","['space', 'finish', 'think', 'style', 'realiz', 'reveal', 'employe']","['mention', 'realiz', 'short', 'countri', 'theori', 'attent', 'realiz', 'start', 'certain', 'subject']","['guess', 'chang', 'like', 'compar', 'cours', 'sign', 'televis', 'grow', 'blue', 'call', 'ago', 'seriou', 'word', 'offic']","['determin', 'statement', 'final', 'place', 'heavi', 'still', 'secur', 'organ', 'could', 'wrong', 'word', 'loss', 'remain', 'wrong']","['compani', 'wife', 'child', 'guess', 'sourc', 'realli', 'per', 'hard', 'two', 'present', 'model', 'world', 'bear', 'interest', 'chanc', 'glass', 'five', 'hous']","['help', 'appli', 'feder', 'lot', 'enter', 'offer', 'team', 'tend', 'break', 'give', 'secur']",
4,5,"['know', 'say', 'congress', 'view', 'wear', 'amount', 'money', 'success', 'road']","['machin', 'learn']","['color', 'happi', 'beat', 'third', 'ok', 'relat', 'data', 'hit', 'son', 'requir', 'list', 'threat', 'allow']","['improv', 'thank', 'half', 'institut', 'team', 'bill', 'move', 'cours', 'week', 'hear', 'societi', 'section', 'plan', 'store', 'month', 'add', 'respons', 'keep']","['artist', 'lot', 'room', 'direct', 'test', 'later', 'team', 'signific', 'long', 'amount']","['detail', 'quickli', 'stuff', 'find', 'need', 'someon', 'look', 'whole', 'reflect', 'chair', 'without', 'includ', 'el', 'hold', 'fight', 'season', 'help']","['audienc', 'center', 'term', 'green', 'idea', 'work', 'know', 'morn']",,,,
5,6,"['wear', 'go', 'identifi', 'site', 'design', 'expert', 'entir', 'offer', 'enter']",['cybersecur'],"['staff', 'even', 'foot', 'collect', 'charact', 'around', 'often', 'hospit', 'arm', 'life', 'import', 'movement', 'explain', 'question', 'ever', 'know', 'southern', 'sea']","['blood', 'event', 'score', 'western', 'war', 'sister', 'activ', 'power', 'bank', 'know', 'yeah', 'star', 'group', 'medic', 'see', 'crime', 'catch', 'fast', 'card', 'studi', 'person', 'special']","['amount', 'help', 'improv', 'talk', 'fill', 'fact', 'often', 'maintain', 'believ', 'new', 'allow', 'voic']","['thu', 'oper', 'drive', 'central', 'other', 'tonight', 'togeth', 'kind', 'everyth', 'box', 'direct', 'hit']",,,,,
6,7,"['claim', 'ago', 'avoid', 'visit', 'even', 'differ', 'charact', 'land', 'offici', 'individu', 'suggest', 'cours', 'seem', 'tradit', 'affect', 'might', 'would', 'actual']","['artifici', 'intellig']","['physic', 'seriou', 'soldier', 'actual', 'toward', 'work', 'stage']","['color', 'polic', 'fast', 'recent', 'month', 'card', 'guess', 'film', 'current', 'exactli', 'measur', 'dog', 'instead', 'research', 'program', 'teach', 'model']","['rate', 'throw', 'financi', 'return', 'woman', 'week', 'ask', 'detail', 'modern', 'bodi']","['last', 'loss', 'possibl']","['suffer', 'person', 'shoulder', 'rich', 'heart', 'feel', 'soon', 'piec', 'mean', 'break']","['lot', 'babi', 'year', 'none', 'wish', 'decis', 'ok', 'gun', 'avail', 'famili', 'address']","['perform', 'foreign', 'great', 'custom', 'top', 'least', 'somebodi', 'tri', 'fund', 'total']",,
7,8,"['red', 'cost', 'usual', 'articl', 'hear', 'major', 'difficult', 'meet', 'natur', 'see', 'card', 'line', 'dog', 'start', 'pressur', 'red', 'recogn']","['environment', 'scienc']","['kid', 'write', 'partner', 'cup', 'film', 'order', 'heavi', 'fear', 'sinc', 'coupl', 'church', 'rock']","['forc', 'make', 'local', 'dream', 'interest', 'expect', 'form', 'save', 'interview', 'product', 'guess', 'well', 'main']","['western', 'think', 'enjoy', 'believ', 'wonder', 'easi', 'church', 'movi', 'effect', 'tonight']","['guy', 'somebodi', 'second', 'cultur', 'pretti', 'star', 'film', 'finish', 'includ', 'profession', 'address', 'voic']","['cell', 'hope', 'thank', 'mission', 'research', 'religi', 'page', 'ball', 'star', 'teach', 'commun']","['develop', 'respond', 'recogn', 'month', 'everyth']","['structur', 'second', 'miss', 'financi', 'paint', 'doctor', 'tell', 'knowledg', 'everybodi', 'owner', 'polici', 'husband', 'worker', 'water', 'discov', 'law', 'director', 'minut', 'execut', 'charact']","['model', 'agent', 'avail', 'congress', 'hotel', 'cultur', 'protect', 'possibl', 'u', 'next', 'wish', 'exactli']","['thank', 'especi', 'season', 'interview', 'poor', 'role', 'bring', 'key', 'practic', 'director', 'amount']"
8,9,"['send', 'structur', 'contain', 'behind', 'great', 'famili', 'stay', 'adult']","['space', 'explor']","['cut', 'staff', 'smile', 'perform', 'enjoy', 'make', 'bag', 'four', 'seriou', 'tonight', 'church', 'ten', 'offici', 'base', 'power', 'collect', 'per', 'plan', 'former', 'section', 'avoid', 'govern']","['congress', 'challeng', 'believ', 'two']","['fine', 'includ', 'major']","['address', 'forward', 'wrong', 'ok', 'mouth', 'listen', 'ten', 'record', 'treat', 'consid', 'properti', 'join', 'kind', 'individu', 'chanc', 'finish', 'despit']","['artist', 'cover', 'probabl', 'list', 'remain', 'hair', 'discuss', 'gun', 'noth', 'small', 'among']",,,,
9,10,"['much', 'activ', 'would', 'foreign', 'break', 'million', 'career', 'dream', 'life']",['educ'],"['game', 'includ', 'plan', 'wish', 'chair', 'doctor', 'form', 'throw', 'relationship']","['writer', 'term', 'u', 'fast', 'start', 'stuff', 'cold', 'board', 'public', 'especi', 'without', 'show']","['articl', 'pas', 'economi', 'edg', 'bag', 'plan', 'claim', 'argu', 'scene', 'get', 'particular', 'medium', 'beat', 'summer', 'drug', 'never', 'fight', 'oil', 'speak', 'question', 'tonight']","['child', 'tough', 'produc', 'analysi', 'account', 'cover', 'huge', 'whose', 'product', 'audienc', 'republican', 'seven', 'help', 'secur', 'shoulder', 'speak', 'languag']",,,,,
