question_id,topic_tokenized,answer_item_1_tokenized,answer_item_2_tokenized,answer_item_3_tokenized,answer_item_4_tokenized,answer_item_5_tokenized,answer_item_6_tokenized,answer_item_7_tokenized,answer_item_8_tokenized,answer_item_9_tokenized
601,"web,develop","black,citi,whatev,dream,dog,despit,certainli,book,inform,tv,increas,suggest,hotel,whether,bill,challeng,budget,eight,pm,like,adult","appear,surfac,troubl,work,idea,particip,secur,form,govern,safe","sign,yeah,wrong,administr,month,born,home,medic,west,profession,prepar,usual,militari,fill,know,nearli,amount,peopl,today,suddenli","feder,use,commerci,later,audienc,street,check,small,individu,unit,letter,contain","suffer,specif,readi,certain,feel,eight,nice,oper,away,employe,top,serv,mean,water,secur,case,sound,right,child,white,valu,let,parent,becom,interest,involv,agre,view,eat","attorney,girl,parent,number,manag,babi","countri,want,certain,effort,mother,other,evid,peopl,act,power,check,magazin",,
602,entrepreneurship,"friend,send,edg,leader,expert,school,allow,career,base,fear","hous,red,skin,debat,anim,walk,soldier,babi,ahead,avail,confer,simpli,least,rise,defens,vote,whatev,success,room,thank,book,especi,agenc","marriag,ground,test,close,war,pretti,design,eight","take,area,tabl,properti,earli,attorney,individu,busi,rich,event,sort,reduc,ago,decis,design,list,new,threat,assum,discuss,major,get,human","religi,figur,room,alway,militari,might,stay,keep,alon,book,realli,lose,product,fli,late,factor,effect,could,push","probabl,theori,face,mission,anim","happi,els,move,region,tonight,give,candid,help,offic,loss,entir,month,offici,senior,common,goal,american",,
603,educ,"success,east,affect,late","involv,process,feel,spend,increas,loss,back,fli,like,simpli,stay,water,secur,former,soon,soon,assum,mani,perhap,modern,creat,within","suggest,car,effect,nation,manag,administr,north,requir,black,properti,speak,certain,big,mention,imagin,later,dinner,show","probabl,seriou,clear,minut,item,ok,white,hope,three,blood,impact,across,war,shake,born,book,free,sort","tend,popular,wear,weight,els,democrat,travel,larg","tonight,kid,anoth,would,stuff,throw,probabl,claim,anyon",,,
604,cybersecur,"manag,book,rate,let,decad,voic,whether,busi,instead,brother,govern,case,colleg,imagin,knowledg,reveal,time,ground,piec,exactli","space,need,hand,materi,tend,success","friend,book,sinc,bag,import,much,success,view,behavior,first,far,head,contain,end,leg,comput,understand,scene","firm,profession,water,final,tradit,educ,ball,fear,specif,discov,speak,name,seriou,adult,pretti,box,choic,car,drug,smile,capit,mr,despit,consum","profession,huge,public,card,though,far","state,see,phone,arm,rule,agreement,tree,enough,hope,smile,valu,centuri,hope,agre","second,thought,deal,build,pictur,individu,spend,two,train,talk,father,none,break,earli,ago,result",,
605,"health,fit","hit,person,reflect,presid,though,colleg,leav,mind,voic,call,let,standard,tabl,u,light,thought,pick,accept","ever,societi,mother,late,coach,shake,man,admit,suffer,month,singl,congress,mother,rate,citi,train,street,polici,democrat,yard,one,perform,u,green,specif,event,although,machin,exampl","tv,yet,item,data,research,believ,debat,speak,hot,enter,child,low,secur,find,market,newspap,research,difficult,condit,rich,comput,environment,build","tv,opportun,figur,long,thank,street,attent,understand,benefit,agre,bank,guess,fast,clearli","vote,hotel,congress,togeth,father,sell,oil,top,war",,,,
606,educ,"end,human,data,yard,mention,upon,design,member,presid,mr,articl,author,end,best,standard,respond,offic,radio,last,least,half,main,standard","sever,particularli,major,field,station,five,ball","model,manag,custom,law,name,today,offici,evid,qualiti,within","activ,new,rule,attent,firm,rememb,share,educ,civil,per,color,line,question","differ,mouth,anyth,pa,subject",,,,
607,robot,"year,pictur,central,kind","dinner,red,anim,focu","doctor,happi,scienc,reason,seri,ask,good,type,make","space,part,develop,use,particularli,cut,carri,process,brother","worri,guy,similar,properti,standard,moment,onto,young,small,improv","garden,next,leader,singl,current,seek","floor,size,piec,becom,attorney,deep,avail,recent,materi,prevent,leader","exampl,foot,invest,job,name,brother,mayb,busi,everybodi,space,trade,gun,old,campaign,style,shake,better,other,anim,wonder,method,three,televis,son,establish,note,begin,voic,concern,requir",
608,"digit,market","togeth,window,stand,trade,partner,loss,fine,despit,throw,countri","compani,simpli,safe,give,answer,avail,smile,right,mr","stock,reason,tonight,qualiti,social,execut,sinc,none,decad,notic,american,factor","ago,eye,bar,tell,keep,film,forc,old,appli,coach,one,difficult,see,level,mention,stock,book,hundr,offer,thousand,site,wear,report,almost,blood,popul","standard,industri,nation,alway,small,relationship,increas,togeth,wind,author,benefit,econom","scienc,care,rather,husband,top,know,yeah,analysi,foreign,girl,spend,howev,new,man","appli,writer,ye,religi,produc,success","town,ten,six","state,view,word,order,technolog,indic,effect,comput,seem,tough,along,american,centuri,sens,mr,stuff,manag,good,memori,daughter,final,speech,rather"
609,"data,scienc","speak,institut,industri,husband,bring,huge,sport,cost,properti,fall,offer,custom,control","happi,someth,worker,pick,properti","score,exist,surfac,modern,help,board,condit,glass,foreign,drug","fine,wrong,court,put,white,say,impact,summer,intern,east,return,inform,money,present,product,teach,foot,part,heart,individu,term,compar,discuss,seri","mr,major,hope,popul,professor,affect,statement,dinner,scientist,ground,readi","eight,religi,foot,agent,fund,build,pretti,fli,nation","everybodi,kind,perform,morn,old,speech,televis,mr,high,form,understand,sound,present,final,materi,worri,interview,phone,alway,star","consum,determin,detail,even,subject,age,lot,statement,trial,consum,particip",
610,"career,develop","watch,polit,treatment,involv,forget,away,goal,forc","way,compar,hope,parent,individu,big,miss","miss,model,ball,low,bank,nearli,live,build,manag,fire,result,scienc,allow,fact,fear,key,born,girl","risk,ye,togeth,finish,state,head,billion,collect,simpli,realli","program,relationship,popular,piec,evid,debat,process,campaign,rule","professor,finish,busi,specif,serv,money,recogn,fear,claim,sea,natur",,,
